currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision,provision_Contra Frente ,provision_Contrafrente ,provision_Frente ,provision_Interno ,provision_Lateral ,condition_ ,condition_A Refaccionar ,condition_Bueno ,condition_Excelente ,condition_Muy Bueno ,condition_Regular 
USD,60.000,$,5.7,Charcas al 5100,31,1,10000,1,2,0, ,Interno ,0,0,0,1,0,1,0,0,0,0,0
USD,299.000,$,21.0,"Av. Santa Fe 4400, Piso 14",105,3,10000,4,4,0,Muy Bueno ,Contra Frente ,1,0,0,0,0,0,0,0,0,1,0
USD,219.000,$,32.0,Av Niceto Vega 5700,66,2,10000,2,3,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,550.000,$,32.0,"Republica  Árabe Siria 3100, Piso 1",167,3,10000,3,4,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,235.000,$,16.0,Av Scalabrini Ortiz al 2200,89,3,10000,2,4,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,151.551,$,32.0,Godoy Cruz 2875,50,1,10000,2,2,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,550.000,$,32.0,Cabello 3100,135,3,10000,3,4,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,185.000,$,18.0,BONPLAND al 2000,69,2,10000,2,3,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,109.000,$,12.3,GODOY CRUZ al 2500,48,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,290.000,$,32.0,"Honduras 3800, Piso 1",191,4,10000,2,5,0,Muy Bueno ,Frente ,0,0,1,0,0,0,0,0,0,1,0
Consultar,precio,$,32.0,"Medrano  1300, Piso 1",106,3,10000,2,4,0,A Refaccionar ,Lateral ,0,0,0,0,1,0,1,0,0,0,0
USD,95.000,$,19.0,CONCEPCION ARENAL al 2300,0,2,10000,1,3,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,110.000,$,32.0,"Malabia 2100, Piso 3","39,62",1,10000,1,2,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,120.000,$,9.671,ARMENIA al 2100,47,2,10000,1,3,0, ,Lateral ,0,0,0,0,1,1,0,0,0,0,0
USD,55.000,$,7.344,SINCLAIR al 3000,28,Monoambiente,10000,1,1,0, ,Interno ,0,0,0,1,0,1,0,0,0,0,0
USD,90.000,$,9.751,"Av. Scalabrini Ortiz 1400, Piso 3º",0,Monoambiente,10000,1,1,1,Muy Bueno ,Contra Frente ,1,0,0,0,0,0,0,0,0,1,0
USD,499.000,$,1.0,Jerónimo Salguero 2800,80,1,10000,1,2,1, ,,0,0,0,0,0,1,0,0,0,0,0
USD,258.200,$,32.0,Guatemala 5500,76,2,10000,2,3,0, ,Contrafrente ,0,1,0,0,0,1,0,0,0,0,0
USD,345.000,$,29.0,"Ortiz De Ocampo 2500, Piso 1",117,3,10000,2,4,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,295.000,$,24.0,Soler al 3700,104,3,10000,2,4,1, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,115.000,$,32.0,Lafinur 3300,35,Monoambiente,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,109.900,$,1.0,Aráoz 2500,30,Monoambiente,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,144.000,$,18.0,"Fray Justo Santa Maria De Oro 2200, Piso 9",42,1,10000,1,2,0,Excelente ,Frente ,0,0,1,0,0,0,0,0,1,0,0
USD,340.000,$,10.539,ARMENIA al 2300,151,6,10000,4,7,0, ,Frente ,0,0,1,0,0,1,0,0,0,0,0
USD,54.000,$,12.0,SANTAMARIA DE ORO al 2200,26,Monoambiente,10000,1,1,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,108.000,$,32.0,NICARAGUA al 5000,50,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,58.000,$,32.0,"Bonpland 1500, Piso pb",0,1,10000,1,2,0,A Refaccionar ,Lateral ,0,0,0,0,1,0,1,0,0,0,0
USD,105.000,$,12.5,Uriarte 1200,48,1,10000,1,2,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,149.000,$,19.78,AV. CORONEL DIAZ al 2300,54,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,118.000,$,12.0,MARIO BRAVO al 1100,52,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
USD,110.000,$,19.0,GASCON al 1500,46,2,10000,1,3,0, ,,0,0,0,0,0,1,0,0,0,0,0
