currencyPurchase,pricePurchase,expensesCurrency,expensesPrice,direcction,coveredArea,bedrooms,antiquity,toilets,environments,garages,condition,provision
USD,170.000,$,7.000,"Bulnes 1900, Piso 2",48,1,10000,2,2,0,Excelente ,Frente 
USD,68.000,$,5.500,"Virasoro (entre Charcas Y Guemes) 2300, Piso 1",34,1,10000,1,2,0,Muy Bueno ,Lateral 
USD,129.000,$,23.000,"Tte B Matienzo 1700, Piso 2",61,2,10000,1,3,0,Muy Bueno ,Frente 
USD,129.000,$,14.000,Angel J Carranza 2300,49,1,10000,1,2,0,Excelente ,Contrafrente 
USD,159.000,$,32.000,Av. Dorrego  2700,86,3,10000,2,4,0, ,Frente 
USD,560.000,$,32.000,Gelly 3400,173,3,10000,2,5,1, ,
USD,190.000,$,10.000,"Gorriti   3800 6°  3800, Piso 6",66,3,30,1,4,0,Muy Bueno ,Frente 
USD,208.000,$,22.000,Raúl Scalabrini Ortiz 3000,89,3,10000,1,4,0, ,
USD,89.000,$,32.000,Armenia al 2300,32,Monoambiente,10000,1,1,0, ,
USD,320.000,$,32.000,"Av. Cordoba 5700, Piso 9","117,22",1,A,2,2,0,Excelente ,Contrafrente 
USD,94.500,$,7.900,"Av Gral Luis Maria Campos 100, Piso 1",51,1,50,1,2,0,Excelente ,Lateral 
USD,72.000,$,2.500,"Av Scalabrini Ortiz 1400, Piso 8",32,1,45,1,2,0,Muy Bueno ,Lateral 
USD,135.000,$,18.000,Medrano al 1600,58,2,10000,1,3,0, ,
USD,148.000,$,32.000,Av Niceto Vega 5700,51,1,10000,1,2,0, ,Contrafrente 
USD,148.000,$,32.000,Av Niceto Vega 5700,51,1,10000,1,2,0, ,Contrafrente 
USD,290.000,$,32.000,Charcas al 5000,100,3,10000,3,4,0, ,Frente 
USD,190.000,$,15.670,"AVENIDA CORDOBA  5100, Piso 5","74,48",3,25,1,4,1,Muy Bueno ,Frente 
USD,65.866,$,32.000,José A. Cabrera 4100,26,Monoambiente,10000,1,1,0, ,
USD,80.362,$,32.000,José A. Cabrera 4100,36,Monoambiente,10000,1,1,0, ,
USD,315.000,$,68.000,"Charcas 4000, Piso 5",126,4,10000,4,5,0,Muy Bueno ,Frente 
USD,158.000,$,20.000,"Thames 2100, Piso 2",68,2,50,2,3,0,Bueno ,Frente 
USD,1.875.000,$,85.000,Av. Libertador e/  Salguero y San Martin de Tours Piso 17  n 2427,307,4,10000,4,5,2, ,Frente 
USD,98.000,$,32.000,Santos Dumont 3400,36,Monoambiente,A,1,1,0, ,Contrafrente 
USD,250.000,$,23.000,Bonpland al 2000,70,1,10000,1,3,1, ,
USD,245.000,$,29.000,Figueroa Alcorta Pte. Av. al 3600,71,1,10000,1,2,1, ,
USD,550.000,$,79.299,Departamento 4 amb con cochera Lafinur al 3300 Palermo Chico,155,3,10000,3,4,1, ,
USD,205.000,$,11.000,Beruti  4500,60,2,10000,2,3,1,Excelente ,Frente 
USD,498.000,$,59.000,Sinclair al 3200,170,3,10000,3,4,1, ,
USD,60.000,$,8.100,Paraguay al 3900,29,1,10000,1,2,0, ,
USD,370.000,$,18.000,Uriarte al 1300,87,2,10000,1,3,1, ,
USD,300.000,$,46.205,Las Heras Gral. Av. al 3100,102,3,10000,2,4,0, ,
USD,900.000,$,32.000,Diaz Cnel. Av. al 2400,217,4,10000,4,6,2, ,
USD,138.000,$,19.000,"Thames 1800, Piso 6",0,2,10000,1,3,0, ,Frente 
Consultar,precio,$,8.000,"Angel J Carranza 2400, Piso 4",44,1,10000,1,2,0,Excelente ,Frente 
USD,148.000,$,15.648,Armenia al 2100,50,2,10000,1,3,1, ,
USD,930.000,$,67.000,Raul Scalabrini Ortiz 3000,263,3,10000,4,5,2, ,
USD,79.000,$,12.950,Santa Fe Av. al 4500,41,1,10000,1,2,0, ,
USD,135.000,$,32.000,Aráoz 2500,39,Monoambiente,10000,1,1,0, ,
USD,250.000,$,35.000,Av Gral Las Heras 3800,0,3,10000,1,4,0,Bueno ,Contrafrente 
USD,835.000,$,52.000,"Ugarteche  3200 6°  3200, Piso 6",226,4,30,3,5,0,Excelente ,Frente 
USD,99.000,$,15.000,Vidt al 1900,49,1,10000,1,2,0, ,Contrafrente 
USD,110.000,$,3.500,"Honduras  4600 PB 4600, Piso PB",45,1,50,1,2,0,Muy Bueno ,Frente 
USD,196.000,$,52.000,Jorge Newbery 2400,130,3,10000,2,4,0, ,
USD,290.000,$,40.000,PARAGUAY 3500,100,2,10000,3,3,1,Excelente ,Frente 
USD,80.000,$,9.500,"Avenida Santa Fe 5000, Piso 6",35,1,10000,1,2,0,Muy Bueno ,Contra Frente 
USD,560.000,$,85.000,Figueroa Alcorta  3300,110,2,10000,3,3,1,Excelente ,Frente 
USD,96.000,$,4.800,"Soler 4000, Piso 2",35,Monoambiente,10000,1,1,1,Muy Bueno ,Contra Frente 
USD,490.000,$,65.000,"Jose A Maure 2100, Piso 1",180,2,10000,3,3,1,Excelente ,Frente 
USD,62.000,$,16.000,"CORONEL DIAZ 2500, Piso 5",25,Monoambiente,10000,1,1,0, ,
USD,1.250.000,$,32.000,"San Martin De Tours 2800, Piso 12",227,4,10000,4,5,2,Excelente ,Frente 
USD,125.000,$,7.800,"Cabello 3700, Piso 7",32,1,10000,1,2,0, ,Lateral 
USD,155.000,$,15.000,"Arévalo  2900, Piso 5",54,2,10000,1,3,0,Bueno ,Contrafrente 
USD,59.000,$,4.000,"Jorge Newbery  1500, Piso 2",22,Monoambiente,10000,1,1,0,A Refaccionar ,Interno 
USD,98.000,$,19.000,Pasaje Santa Rosa 4000,35,1,10000,1,2,0,Excelente ,Frente 
USD,329.000,$,47.000,PARAGUAY  5600,115,2,10000,2,3,1,Excelente ,Frente 
USD,99.000,$,6.800,SAN LUIS 3300,60,2,10000,1,3,0,Muy Bueno ,Frente 
USD,68.000,$,32.000,"J Salguero 1200, Piso 3",53,2,10000,1,3,0,Muy Bueno ,Contrafrente 
USD,85.000,$,8.000,Guatemala 4900,39,1,10000,1,2,0, ,
USD,150.000,$,32.000,"Scalabrini Ortiz 1500, Piso 8",41,1,10000,1,2,0,Excelente ,Contra Frente 
USD,65.000,$,8.700,Guatemala 4400,0,1,10000,1,2,0,Muy Bueno ,Lateral 
USD,279.000,$,51.000,Av. Gral. Las Heras 2700,120,3,10000,3,4,1, ,
USD,679.900,$,32.000,El Salvador 4500,396,5,40,3,6,1, ,
USD,224.900,$,22.500,"J Alvarez 2600, Piso 7",99,3,10000,1,4,0,Muy Bueno ,Frente 
USD,145.000,$,27.000,Ortega Y Gasset  1900,76,2,10000,2,3,0,Bueno ,Frente 
USD,365.000,$,40.000,"Av Cabildo 300, Piso 11",192,3,10000,3,7,1,Bueno ,Frente 
USD,149.000,$,13.000,"Fray Justo Maria De Oro  2600 3°  2600, Piso 3",49,1,3,1,2,0,Excelente ,Frente 
USD,348.000,$,32.000,"Arevalo  1700 2°  1700, Piso 2",76,2,10000,2,3,0, ,
USD,127.000,$,32.000,"Ángel J. Carranza  2100 3° 2100, Piso 3°",44,Monoambiente,10000,1,1,0,Excelente ,Frente 
USD,72.000,$,5.000,"Charcas  4700, Piso P.B.",33,1,10000,1,2,0,Bueno ,Frente 
USD,810.000,$,32.000,Medrano 1300,0,4,60,4,5,1,Excelente ,
USD,660.000,$,32.000,Araoz 1400,"581,50",4,40,2,7,1,Muy Bueno ,
USD,189.000,$,16.000,"Humbolt 2400, Piso 4",79,3,10000,3,4,0,Muy Bueno ,Frente 
USD,449.900,$,32.000,Silvio L. Ruggieri 2700,171,8,100,2,9,0, ,
USD,390.000,$,32.000,JERONIMO SALGUERO al 1400,201,5,40,2,6,0, ,
USD,140.800,$,32.000,Armenia al 2400,44,Monoambiente,A,1,1,0, ,
USD,109.500,$,32.000,Bonpland al 1400,39,Monoambiente,10000,1,1,0, ,
USD,230.000,$,26.000,"Scalabrini Ortiz 3000, Piso 2",67,2,10000,2,3,0,Excelente ,Contra Frente 
USD,58.800,$,5.900,Fray Justo Santa Maria De Oro 2100,23,Monoambiente,10000,1,1,0, ,
USD,335.000,$,20.000,"Jorge Luis Borges 2300, Piso 1",153,3,10000,1,4,1,Muy Bueno ,Frente 
USD,179.000,$,25.000,Gorriti 6000,63,2,10000,2,3,0, ,
USD,85.000,$,4.800,"Soler 4000, Piso 2",35,Monoambiente,10000,1,1,0,Muy Bueno ,Contra Frente 
USD,180.000,$,51.000,"Santos Dumont 2400, Piso 7",58,2,10000,2,3,1,Excelente ,Frente 
USD,98.000,$,3.500,"Avenida Cordoba 5100, Piso 10",37,1,10000,1,2,0,Excelente ,Frente 
USD,483.900,$,32.000,Guatemala al 5500,132,3,10000,2,4,0, ,Frente 
USD,90.000,$,32.000,Godoy Cruz 2800,36,1,10000,1,2,0, ,
USD,58.999,$,32.000,Fray Justo Santa María De Oro Al  2100,25,1,10000,1,1,0, ,
USD,110.750,$,32.000,"Nicaragua 4900, Piso 2",44,1,10000,2,2,0,Excelente ,Contra Frente 
USD,72.000,$,12.000,"Av Santa Fe 5300, Piso 14",35,1,10000,1,2,0,Excelente ,
USD,72.000,$,2.500,"Av Scalabrini Ortiz 1400, Piso 8",32,1,45,1,2,0,Muy Bueno ,Lateral 
USD,85.000,$,20.000,"Mario Bravo 1200, Piso 3",40,Monoambiente,10000,1,1,0,Excelente ,Frente 
USD,115.000,$,1,Avenida Coronel Niceto Vega 5600,42,1,A,1,2,0, ,
USD,115.000,$,1,Humboldt 2300,47,1,A,1,2,0, ,
USD,169.000,$,32.000,VIDT al 1600,85,3,10000,3,4,0, ,Frente 
USD,212.000,$,30.000,Scalabrini Ortiz Al 3300,78,2,10000,2,3,0, ,Contra Frente 
USD,119.000,$,32.000,Godoy Cruz 2800,46,1,10000,1,2,0, ,
USD,630.000,$,32.000,JORGE NEWBERY al 2400,185,4,40,4,5,0, ,
USD,147.900,$,17.000,Fitz Roy,83,3,10000,2,4,0, ,
USD,213.000,$,25.000,Av. Coronel Diaz al 2600,77,3,10000,2,4,0, ,
USD,255.000,$,13.700,"Ravignani 2000, Piso 2",65,2,10000,2,3,1,Excelente ,Frente 
USD,240.000,$,35.000,"Gurruchaga  2200, Piso 8",65,2,10000,2,3,1,Muy Bueno ,Frente 
USD,92.000,$,32.000,R S Ortiz al 1400,56,2,10000,1,3,0, ,Contrafrente 
USD,160.000,$,32.000,"Gurruchaga 2400, Piso 6",43,1,10000,1,2,0,Muy Bueno ,Contrafrente 
USD,78.000,$,13.000,"Arenales  3600, Piso 4",39,2,10000,1,3,0,A Refaccionar ,Interno 
USD,88.900,$,20.000,Humboldt Al 2400,45,2,10000,1,3,0, ,
USD,175.000,$,24.000,av . Medrano al 1600,83,3,10000,2,4,0, ,
USD,429.000,$,40.000,"French  3600 7°  3600, Piso 7",116,2,15,3,3,0,Excelente ,Frente 
